[INFO] Creating 12 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30 minutes for 8M steps!
[INFO] VANILLA MODE: No reward shaping!

============================================================
[START] VANILLA TRAINING
============================================================

[EPISODE 249] Step: 51,480 | Reward: 15.69 | Avg-100: -55.50
[EPISODE 250] Step: 51,708 | Reward: 23.28 | Avg-100: -54.91
[EPISODE 251] Step: 51,828 | Reward: -19.38 | Avg-100: -54.71
[EPISODE 252] Step: 52,272 | Reward: -31.53 | Avg-100: -54.80
[EPISODE 253] Step: 53,364 | Reward: -37.63 | Avg-100: -54.95
[EPISODE 254] Step: 53,496 | Reward: -61.03 | Avg-100: -55.33
[EPISODE 255] Step: 53,556 | Reward: -34.24 | Avg-100: -55.79
[EPISODE 256] Step: 53,712 | Reward: -21.72 | Avg-100: -55.87
[EPISODE 257] Step: 53,784 | Reward: -68.52 | Avg-100: -55.99
[EPISODE 258] Step: 54,060 | Reward: -230.52 | Avg-100: -58.20
[EPISODE 259] Step: 54,252 | Reward: 6.17 | Avg-100: -58.11
[EPISODE 260] Step: 54,288 | Reward: -4.58 | Avg-100: -57.96
[EPISODE 261] Step: 54,456 | Reward: 8.17 | Avg-100: -54.85
[EPISODE 262] Step: 54,504 | Reward: -26.58 | Avg-100: -54.77
[EPISODE 263] Step: 54,540 | Reward: -22.60 | Avg-100: -55.30
[EPISODE 264] Step: 54,672 | Reward: -100.55 | Avg-100: -52.74
[EPISODE 265] Step: 54,708 | Reward: 5.96 | Avg-100: -52.67
[EPISODE 266] Step: 55,176 | Reward: 21.97 | Avg-100: -52.30
[BEST MODEL] New record! Avg Reward: -52.30
[EPISODE 267] Step: 55,464 | Reward: 4.55 | Avg-100: -52.16
[EPISODE 268] Step: 55,464 | Reward: -10.10 | Avg-100: -51.53
[EPISODE 269] Step: 55,812 | Reward: -21.85 | Avg-100: -51.16
[EPISODE 270] Step: 55,992 | Reward: -221.97 | Avg-100: -53.15
[EPISODE 271] Step: 56,100 | Reward: 1.82 | Avg-100: -52.93
[EPISODE 272] Step: 56,880 | Reward: -43.23 | Avg-100: -51.10
[EPISODE 273] Step: 57,096 | Reward: -229.77 | Avg-100: -53.35
[EPISODE 274] Step: 57,228 | Reward: -26.59 | Avg-100: -52.83
[EPISODE 275] Step: 57,576 | Reward: 3.98 | Avg-100: -53.10
[EPISODE 276] Step: 57,828 | Reward: -12.67 | Avg-100: -53.14
[EPISODE 277] Step: 58,128 | Reward: 18.67 | Avg-100: -53.00
[EPISODE 278] Step: 58,248 | Reward: -8.75 | Avg-100: -52.69
[EPISODE 279] Step: 58,488 | Reward: -3.68 | Avg-100: -52.62
[EPISODE 280] Step: 58,668 | Reward: 1.52 | Avg-100: -52.37
[EPISODE 281] Step: 58,800 | Reward: -7.25 | Avg-100: -51.89
[EPISODE 282] Step: 58,896 | Reward: -109.80 | Avg-100: -52.50
[EPISODE 283] Step: 59,148 | Reward: -19.35 | Avg-100: -52.56
[EPISODE 284] Step: 59,568 | Reward: -145.40 | Avg-100: -54.09
[EPISODE 285] Step: 59,940 | Reward: -14.09 | Avg-100: -51.20
[EPISODE 286] Step: 59,952 | Reward: -27.99 | Avg-100: -50.19
[EPISODE 287] Step: 60,648 | Reward: -53.81 | Avg-100: -50.67
[EPISODE 288] Step: 60,828 | Reward: -63.82 | Avg-100: -50.56
[EPISODE 289] Step: 61,152 | Reward: 16.47 | Avg-100: -50.23
[EPISODE 290] Step: 61,296 | Reward: -6.25 | Avg-100: -50.27
[BEST MODEL] New record! Avg Reward: -50.27
[EPISODE 291] Step: 61,512 | Reward: -150.52 | Avg-100: -50.53
[EPISODE 292] Step: 61,620 | Reward: -23.09 | Avg-100: -50.61
[EPISODE 293] Step: 61,824 | Reward: -9.81 | Avg-100: -50.32
[EPISODE 294] Step: 61,836 | Reward: -13.09 | Avg-100: -50.43
[EPISODE 295] Step: 62,064 | Reward: -212.23 | Avg-100: -52.43
[EPISODE 296] Step: 62,196 | Reward: -3.73 | Avg-100: -52.38
[EPISODE 297] Step: 62,292 | Reward: 13.85 | Avg-100: -52.26
[EPISODE 298] Step: 62,316 | Reward: -12.80 | Avg-100: -49.33
[EPISODE 299] Step: 62,460 | Reward: -0.93 | Avg-100: -49.50
[EPISODE 300] Step: 63,288 | Reward: -29.57 | Avg-100: -49.84
[EPISODE 301] Step: 63,768 | Reward: -48.06 | Avg-100: -50.26
[EPISODE 302] Step: 63,948 | Reward: -15.75 | Avg-100: -50.02
[EPISODE 303] Step: 64,164 | Reward: -29.34 | Avg-100: -47.35
[EPISODE 304] Step: 64,308 | Reward: -0.20 | Avg-100: -47.33
[EPISODE 305] Step: 64,740 | Reward: 29.65 | Avg-100: -46.78
[EPISODE 306] Step: 64,944 | Reward: -6.37 | Avg-100: -44.19
[EPISODE 307] Step: 65,880 | Reward: -0.95 | Avg-100: -44.23
[EPISODE 308] Step: 65,940 | Reward: -11.94 | Avg-100: -44.39
[EPISODE 309] Step: 66,708 | Reward: -215.27 | Avg-100: -45.85
[EPISODE 310] Step: 66,720 | Reward: -0.39 | Avg-100: -44.93
[EPISODE 311] Step: 66,936 | Reward: -18.11 | Avg-100: -42.72
[EPISODE 312] Step: 67,272 | Reward: 1.37 | Avg-100: -42.70
[EPISODE 313] Step: 67,464 | Reward: -175.14 | Avg-100: -42.52
[EPISODE 314] Step: 67,500 | Reward: 40.99 | Avg-100: -41.41
[EPISODE 315] Step: 67,572 | Reward: -58.47 | Avg-100: -41.92
[BEST MODEL] New record! Avg Reward: -41.92
[EPISODE 316] Step: 67,992 | Reward: -201.93 | Avg-100: -43.79
[EPISODE 317] Step: 68,100 | Reward: -171.92 | Avg-100: -45.53
[EPISODE 318] Step: 68,292 | Reward: 2.98 | Avg-100: -45.25
[EPISODE 319] Step: 68,364 | Reward: -26.45 | Avg-100: -46.04
[EPISODE 320] Step: 68,376 | Reward: 4.06 | Avg-100: -45.75
[EPISODE 321] Step: 68,868 | Reward: -2.51 | Avg-100: -45.84
[EPISODE 322] Step: 69,036 | Reward: 11.27 | Avg-100: -42.65
[EPISODE 323] Step: 69,036 | Reward: -92.01 | Avg-100: -43.17
[EPISODE 324] Step: 69,084 | Reward: -47.55 | Avg-100: -43.11
[EPISODE 325] Step: 69,180 | Reward: 21.76 | Avg-100: -42.84
[EPISODE 326] Step: 69,516 | Reward: 5.96 | Avg-100: -42.46
[EPISODE 327] Step: 69,552 | Reward: 13.52 | Avg-100: -42.31
[EPISODE 328] Step: 70,308 | Reward: -10.69 | Avg-100: -42.23
[EPISODE 329] Step: 70,344 | Reward: -23.09 | Avg-100: -41.36
[EPISODE 330] Step: 70,368 | Reward: -24.38 | Avg-100: -41.18
[EPISODE 331] Step: 70,476 | Reward: -4.54 | Avg-100: -40.47
[EPISODE 332] Step: 70,548 | Reward: -9.54 | Avg-100: -39.23
[EPISODE 333] Step: 70,644 | Reward: 39.39 | Avg-100: -38.63
[EPISODE 334] Step: 70,800 | Reward: -124.39 | Avg-100: -39.72
