[INFO] Creating 16 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 16
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] HEIGHT STABILITY PENALTY MODE!
[INFO] Penalty Coefficient: 5.0 (strong anti-hopping!)

============================================================
[START] ANTI-HOPPING TRAINING (Height Stability Penalty!)
============================================================

[EPISODE 189] Step: 40,128 | Reward: 13.53 | Avg-100: -84.96 | Speed: 214273 steps/s
[EPISODE 190] Step: 40,560 | Reward: -31.36 | Avg-100: -85.57 | Speed: 164969 steps/s
[EPISODE 191] Step: 40,800 | Reward: 25.34 | Avg-100: -84.98 | Speed: 292412 steps/s
[EPISODE 192] Step: 40,832 | Reward: -110.75 | Avg-100: -85.85 | Speed: 2120209 steps/s
[EPISODE 193] Step: 40,880 | Reward: 1.31 | Avg-100: -81.50 | Speed: 1426299 steps/s
[EPISODE 194] Step: 40,896 | Reward: -155.92 | Avg-100: -78.93 | Speed: 5064422 steps/s
[EPISODE 195] Step: 40,944 | Reward: -20.70 | Avg-100: -74.35 | Speed: 1424454 steps/s
[EPISODE 196] Step: 41,008 | Reward: -8.63 | Avg-100: -73.98 | Speed: 25993 steps/s
[EPISODE 197] Step: 41,168 | Reward: -4.65 | Avg-100: -74.25 | Speed: 456929 steps/s
[EPISODE 198] Step: 41,312 | Reward: 10.06 | Avg-100: -73.96 | Speed: 503288 steps/s
[EPISODE 199] Step: 41,344 | Reward: -300.84 | Avg-100: -77.24 | Speed: 2175108 steps/s
[EPISODE 200] Step: 41,600 | Reward: 15.78 | Avg-100: -76.91 | Speed: 295047 steps/s
[EPISODE 201] Step: 41,632 | Reward: -214.16 | Avg-100: -78.01 | Speed: 1851553 steps/s
[EPISODE 202] Step: 41,728 | Reward: -8.42 | Avg-100: -77.99 | Speed: 769361 steps/s
[EPISODE 203] Step: 41,728 | Reward: -10.55 | Avg-100: -77.93 | Speed: 49866889 steps/s
[EPISODE 204] Step: 41,760 | Reward: -2.81 | Avg-100: -77.44 | Speed: 2281199 steps/s
[EPISODE 205] Step: 41,904 | Reward: 11.38 | Avg-100: -77.28 | Speed: 503601 steps/s
[EPISODE 206] Step: 42,112 | Reward: -1.80 | Avg-100: -77.87 | Speed: 343049 steps/s
[EPISODE 207] Step: 42,256 | Reward: -284.37 | Avg-100: -79.74 | Speed: 521248 steps/s
[EPISODE 208] Step: 42,352 | Reward: 13.13 | Avg-100: -78.94 | Speed: 750407 steps/s
[EPISODE 209] Step: 42,480 | Reward: -37.82 | Avg-100: -79.23 | Speed: 540420 steps/s
