[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 5,000,000
[INFO] Energy Efficiency: ON (action_penalty=0.01, jerk_penalty=0.05)

============================================================
[START] ENERGY-EFFICIENT TRAINING STARTED
============================================================

[EPISODE 122] Step: 24,238 | Reward: -26.03 | Avg-100: -95.58
[EPISODE 123] Step: 24,396 | Reward: -89.18 | Avg-100: -96.28
[EPISODE 124] Step: 24,474 | Reward: -28.50 | Avg-100: -90.93
[EPISODE 125] Step: 24,557 | Reward: -53.94 | Avg-100: -90.61
[EPISODE 126] Step: 24,576 | Reward: -25.38 | Avg-100: -90.29
[EPISODE 127] Step: 24,638 | Reward: -25.72 | Avg-100: -90.19
[EPISODE 128] Step: 24,764 | Reward: -95.56 | Avg-100: -90.59
[EPISODE 129] Step: 24,808 | Reward: -32.24 | Avg-100: -90.06
[EPISODE 130] Step: 24,936 | Reward: -62.55 | Avg-100: -90.50
[EPISODE 131] Step: 25,065 | Reward: -41.16 | Avg-100: -90.47
[EPISODE 132] Step: 25,121 | Reward: -11.37 | Avg-100: -86.03
[EPISODE 133] Step: 25,178 | Reward: -47.90 | Avg-100: -82.57
[EPISODE 134] Step: 25,289 | Reward: -131.14 | Avg-100: -83.78
[EPISODE 135] Step: 25,368 | Reward: -6.67 | Avg-100: -83.41
[EPISODE 136] Step: 25,397 | Reward: -12.60 | Avg-100: -83.35
[EPISODE 137] Step: 25,453 | Reward: -8.29 | Avg-100: -82.93
[EPISODE 138] Step: 25,564 | Reward: -45.99 | Avg-100: -83.27
[EPISODE 139] Step: 25,709 | Reward: -43.12 | Avg-100: -83.54
[EPISODE 140] Step: 25,876 | Reward: -49.14 | Avg-100: -83.25
[EPISODE 141] Step: 25,946 | Reward: -48.10 | Avg-100: -83.26
[EPISODE 142] Step: 25,976 | Reward: -15.55 | Avg-100: -83.45
[EPISODE 143] Step: 26,027 | Reward: -28.51 | Avg-100: -81.54
[EPISODE 144] Step: 26,177 | Reward: -38.20 | Avg-100: -77.30
[EPISODE 145] Step: 26,243 | Reward: -47.39 | Avg-100: -77.28
[EPISODE 146] Step: 26,428 | Reward: -95.04 | Avg-100: -77.98
[EPISODE 147] Step: 26,619 | Reward: -83.03 | Avg-100: -74.14
[BEST MODEL] New record! Avg Reward: -74.14
[EPISODE 148] Step: 26,781 | Reward: -83.47 | Avg-100: -72.83
[EPISODE 149] Step: 27,024 | Reward: -93.93 | Avg-100: -73.53
[EPISODE 150] Step: 27,124 | Reward: -11.29 | Avg-100: -73.67
[EPISODE 151] Step: 27,223 | Reward: -39.23 | Avg-100: -73.79
[EPISODE 152] Step: 27,240 | Reward: -7.17 | Avg-100: -73.87
[EPISODE 153] Step: 27,270 | Reward: -10.20 | Avg-100: -72.71
[EPISODE 154] Step: 27,349 | Reward: -22.79 | Avg-100: -68.36
[EPISODE 155] Step: 27,568 | Reward: -127.88 | Avg-100: -69.63
[EPISODE 156] Step: 27,612 | Reward: 1.31 | Avg-100: -69.11
[EPISODE 157] Step: 27,720 | Reward: -37.98 | Avg-100: -69.48
[EPISODE 158] Step: 27,741 | Reward: -14.63 | Avg-100: -69.71
[EPISODE 159] Step: 27,795 | Reward: -15.68 | Avg-100: -69.29
[EPISODE 160] Step: 27,820 | Reward: -6.74 | Avg-100: -68.94
[BEST MODEL] New record! Avg Reward: -68.94
[EPISODE 161] Step: 28,820 | Reward: -485.09 | Avg-100: -73.14
[EPISODE 162] Step: 28,916 | Reward: -31.93 | Avg-100: -72.77
[EPISODE 163] Step: 29,168 | Reward: -106.14 | Avg-100: -73.72
[EPISODE 164] Step: 29,251 | Reward: -57.37 | Avg-100: -73.91
[EPISODE 165] Step: 29,286 | Reward: -8.07 | Avg-100: -73.84
[EPISODE 166] Step: 29,325 | Reward: 0.34 | Avg-100: -73.88
[EPISODE 167] Step: 29,403 | Reward: -23.42 | Avg-100: -73.16
[EPISODE 168] Step: 29,465 | Reward: -24.50 | Avg-100: -72.73
[EPISODE 169] Step: 29,589 | Reward: -108.75 | Avg-100: -73.91
[EPISODE 170] Step: 30,589 | Reward: -452.83 | Avg-100: -77.70
[EPISODE 171] Step: 31,589 | Reward: -438.74 | Avg-100: -80.10
[EPISODE 172] Step: 31,615 | Reward: -2.77 | Avg-100: -79.42
[EPISODE 173] Step: 31,666 | Reward: -13.72 | Avg-100: -78.96
[EPISODE 174] Step: 31,748 | Reward: -69.42 | Avg-100: -79.57
[EPISODE 175] Step: 31,918 | Reward: -131.75 | Avg-100: -79.68
[EPISODE 176] Step: 32,007 | Reward: -55.61 | Avg-100: -79.61
[EPISODE 177] Step: 32,143 | Reward: -44.67 | Avg-100: -79.61
[EPISODE 178] Step: 32,225 | Reward: -23.55 | Avg-100: -79.32
[EPISODE 179] Step: 32,264 | Reward: -8.22 | Avg-100: -79.54
[EPISODE 180] Step: 32,350 | Reward: -24.39 | Avg-100: -78.88
[EPISODE 181] Step: 32,492 | Reward: -36.76 | Avg-100: -79.31
[EPISODE 182] Step: 33,492 | Reward: -522.53 | Avg-100: -84.03
[EPISODE 183] Step: 34,492 | Reward: -385.58 | Avg-100: -88.03
[EPISODE 184] Step: 34,626 | Reward: -36.91 | Avg-100: -86.53
[EPISODE 185] Step: 34,647 | Reward: -2.51 | Avg-100: -86.10
[EPISODE 186] Step: 34,715 | Reward: -21.34 | Avg-100: -81.69
[EPISODE 187] Step: 35,715 | Reward: -387.98 | Avg-100: -85.27
[EPISODE 188] Step: 35,757 | Reward: -35.51 | Avg-100: -85.69
[EPISODE 189] Step: 35,827 | Reward: 52.27 | Avg-100: -84.82
[EPISODE 190] Step: 35,976 | Reward: -80.91 | Avg-100: -85.53
[EPISODE 191] Step: 36,118 | Reward: -73.23 | Avg-100: -85.40
[EPISODE 192] Step: 36,144 | Reward: -26.32 | Avg-100: -85.41
[EPISODE 193] Step: 36,207 | Reward: -52.24 | Avg-100: -81.02
[EPISODE 194] Step: 36,282 | Reward: -32.68 | Avg-100: -80.53
[EPISODE 195] Step: 36,316 | Reward: -18.33 | Avg-100: -80.53
[EPISODE 196] Step: 36,388 | Reward: -51.90 | Avg-100: -80.91
[EPISODE 197] Step: 36,515 | Reward: -74.24 | Avg-100: -80.72
[EPISODE 198] Step: 36,535 | Reward: -1.05 | Avg-100: -80.66
[EPISODE 199] Step: 36,594 | Reward: -47.69 | Avg-100: -80.29
[EPISODE 200] Step: 36,760 | Reward: -47.79 | Avg-100: -80.34
[EPISODE 201] Step: 36,786 | Reward: 0.98 | Avg-100: -80.23
[EPISODE 202] Step: 37,786 | Reward: -494.08 | Avg-100: -85.24
[EPISODE 203] Step: 37,808 | Reward: -25.71 | Avg-100: -80.51
[EPISODE 204] Step: 37,843 | Reward: 0.92 | Avg-100: -79.93
[EPISODE 205] Step: 37,907 | Reward: -20.33 | Avg-100: -79.99
[EPISODE 206] Step: 37,998 | Reward: -20.03 | Avg-100: -79.34
[EPISODE 207] Step: 38,016 | Reward: -11.64 | Avg-100: -79.35
[EPISODE 208] Step: 38,099 | Reward: -15.86 | Avg-100: -79.48
[EPISODE 209] Step: 39,099 | Reward: -383.63 | Avg-100: -82.80
[EPISODE 210] Step: 39,363 | Reward: -76.47 | Avg-100: -83.40
[EPISODE 211] Step: 39,646 | Reward: -162.71 | Avg-100: -84.62
[EPISODE 212] Step: 39,761 | Reward: -81.87 | Avg-100: -84.65
