[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000

============================================================
[START] TRAINING STARTED
============================================================

[EPISODE 229] Step: 19,177 | Reward: -63.42 | Avg-100: -273.44
[EPISODE 230] Step: 19,199 | Reward: -79.64 | Avg-100: -273.44
[EPISODE 231] Step: 20,199 | Reward: -3687.14 | Avg-100: -309.16
[EPISODE 232] Step: 20,341 | Reward: -488.00 | Avg-100: -310.13
[EPISODE 233] Step: 20,397 | Reward: -186.75 | Avg-100: -310.21
[EPISODE 234] Step: 20,415 | Reward: -44.51 | Avg-100: -309.54
[EPISODE 235] Step: 20,432 | Reward: -68.49 | Avg-100: -308.16
[EPISODE 236] Step: 21,432 | Reward: -3814.63 | Avg-100: -345.88
[EPISODE 237] Step: 21,446 | Reward: -60.73 | Avg-100: -345.84
[EPISODE 238] Step: 21,475 | Reward: -121.82 | Avg-100: -344.35
[EPISODE 239] Step: 21,506 | Reward: -132.52 | Avg-100: -344.05
[EPISODE 240] Step: 21,531 | Reward: -125.19 | Avg-100: -344.82
[EPISODE 241] Step: 21,570 | Reward: -162.69 | Avg-100: -345.43
[EPISODE 242] Step: 21,581 | Reward: -56.20 | Avg-100: -345.38
[EPISODE 243] Step: 21,595 | Reward: -59.57 | Avg-100: -344.62
[EPISODE 244] Step: 21,640 | Reward: -138.74 | Avg-100: -344.53
[EPISODE 245] Step: 21,684 | Reward: -158.29 | Avg-100: -345.63
[EPISODE 246] Step: 21,734 | Reward: -129.83 | Avg-100: -344.57
[EPISODE 247] Step: 21,767 | Reward: -145.24 | Avg-100: -343.71
[EPISODE 248] Step: 21,780 | Reward: -59.35 | Avg-100: -342.33
[EPISODE 249] Step: 21,804 | Reward: -109.57 | Avg-100: -343.13
[EPISODE 250] Step: 21,949 | Reward: -558.94 | Avg-100: -348.15
[EPISODE 251] Step: 22,013 | Reward: -223.29 | Avg-100: -349.16
[EPISODE 252] Step: 22,043 | Reward: -130.37 | Avg-100: -349.27
[EPISODE 253] Step: 22,068 | Reward: -108.50 | Avg-100: -348.45
[EPISODE 254] Step: 22,090 | Reward: -109.99 | Avg-100: -348.05
[EPISODE 255] Step: 22,107 | Reward: -49.39 | Avg-100: -344.40
[EPISODE 256] Step: 22,129 | Reward: -71.15 | Avg-100: -342.16
[EPISODE 257] Step: 22,160 | Reward: -139.67 | Avg-100: -342.70
[EPISODE 258] Step: 22,173 | Reward: -49.92 | Avg-100: -342.19
[EPISODE 259] Step: 22,253 | Reward: -323.31 | Avg-100: -344.40
