[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 216] Step: 38,352 | Reward: -30.08 | Avg-100: -102.73
[EPISODE 217] Step: 38,520 | Reward: -24.87 | Avg-100: -102.58
[EPISODE 218] Step: 38,736 | Reward: -85.70 | Avg-100: -101.90
[EPISODE 219] Step: 38,808 | Reward: -60.93 | Avg-100: -102.29
[EPISODE 220] Step: 39,576 | Reward: -38.58 | Avg-100: -101.73
[EPISODE 221] Step: 39,720 | Reward: -13.12 | Avg-100: -102.04
[EPISODE 222] Step: 39,720 | Reward: 2.19 | Avg-100: -101.50
[EPISODE 223] Step: 40,104 | Reward: -47.42 | Avg-100: -101.82
[EPISODE 224] Step: 40,200 | Reward: 8.69 | Avg-100: -100.65
[EPISODE 225] Step: 40,224 | Reward: -1.29 | Avg-100: -100.55
[EPISODE 226] Step: 40,608 | Reward: -129.13 | Avg-100: -101.80
[EPISODE 227] Step: 40,944 | Reward: -11.16 | Avg-100: -99.87
[EPISODE 228] Step: 40,968 | Reward: -12.50 | Avg-100: -99.52
[EPISODE 229] Step: 41,088 | Reward: -11.83 | Avg-100: -99.65
[EPISODE 230] Step: 41,208 | Reward: -90.11 | Avg-100: -100.51
[EPISODE 231] Step: 41,280 | Reward: 0.37 | Avg-100: -100.01
[EPISODE 232] Step: 41,304 | Reward: -425.02 | Avg-100: -103.76
[EPISODE 233] Step: 41,568 | Reward: -75.25 | Avg-100: -99.62
[EPISODE 234] Step: 41,664 | Reward: -66.13 | Avg-100: -95.44
[EPISODE 235] Step: 41,760 | Reward: -514.65 | Avg-100: -95.61
[EPISODE 236] Step: 41,928 | Reward: -11.73 | Avg-100: -91.06
[EPISODE 237] Step: 42,360 | Reward: -12.06 | Avg-100: -90.57
[EPISODE 238] Step: 42,528 | Reward: -31.76 | Avg-100: -89.84
[EPISODE 239] Step: 42,960 | Reward: -22.49 | Avg-100: -85.99
[EPISODE 240] Step: 43,008 | Reward: -48.06 | Avg-100: -86.29
[EPISODE 241] Step: 43,656 | Reward: -60.61 | Avg-100: -86.66
[EPISODE 242] Step: 43,920 | Reward: -22.16 | Avg-100: -86.59
[EPISODE 243] Step: 44,136 | Reward: -2.13 | Avg-100: -86.63
[EPISODE 244] Step: 44,280 | Reward: -4.44 | Avg-100: -86.46
[EPISODE 245] Step: 44,448 | Reward: -10.31 | Avg-100: -81.94
[EPISODE 246] Step: 44,520 | Reward: -61.61 | Avg-100: -82.31
[EPISODE 247] Step: 44,520 | Reward: -96.37 | Avg-100: -82.98
[EPISODE 248] Step: 44,760 | Reward: -12.36 | Avg-100: -82.91
[EPISODE 249] Step: 44,880 | Reward: -4.40 | Avg-100: -82.70
[EPISODE 250] Step: 44,880 | Reward: -23.57 | Avg-100: -82.73
[EPISODE 251] Step: 44,952 | Reward: -83.22 | Avg-100: -83.14
[EPISODE 252] Step: 44,952 | Reward: -12.83 | Avg-100: -81.48
[EPISODE 253] Step: 45,000 | Reward: -138.27 | Avg-100: -78.27
[EPISODE 254] Step: 45,120 | Reward: 4.98 | Avg-100: -78.01
[EPISODE 255] Step: 45,456 | Reward: -484.98 | Avg-100: -82.65
[EPISODE 256] Step: 45,504 | Reward: 2.38 | Avg-100: -82.37
[EPISODE 257] Step: 45,552 | Reward: -4.99 | Avg-100: -82.09
[EPISODE 258] Step: 45,864 | Reward: -13.39 | Avg-100: -81.25
[EPISODE 259] Step: 45,888 | Reward: -6.52 | Avg-100: -75.85
[EPISODE 260] Step: 46,104 | Reward: -25.44 | Avg-100: -75.62
[EPISODE 261] Step: 46,872 | Reward: -59.72 | Avg-100: -75.88
[EPISODE 262] Step: 46,896 | Reward: -12.15 | Avg-100: -75.03
[EPISODE 263] Step: 46,992 | Reward: -21.94 | Avg-100: -75.22
[EPISODE 264] Step: 47,256 | Reward: -32.16 | Avg-100: -75.39
[EPISODE 265] Step: 47,280 | Reward: -67.92 | Avg-100: -75.95
[EPISODE 266] Step: 47,880 | Reward: -4.88 | Avg-100: -75.36
[EPISODE 267] Step: 48,384 | Reward: -197.25 | Avg-100: -76.50
