[INFO] Creating 12 parallel environments...
[INFO] Using DummyVecEnv (no IPC overhead!)
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 12
[INFO] Rollout Steps: 512
[INFO] Expected Time: ~30-35 minutes for 8M steps!
[INFO] VANILLA MODE: Ant-v5 base reward only!
[INFO] Anti-hopping: Built-in contact_cost penalty!

============================================================
[START] OPTIMIZED VANILLA TRAINING
============================================================

[EPISODE 194] Step: 42,564 | Reward: -0.61 | Avg-100: -77.83 | Speed: 963933 steps/s
[EPISODE 195] Step: 42,708 | Reward: -4.21 | Avg-100: -77.79 | Speed: 377720 steps/s
[BEST MODEL] New record! Avg Reward: -77.79
[EPISODE 196] Step: 43,464 | Reward: -38.57 | Avg-100: -77.79 | Speed: 26343 steps/s
[EPISODE 197] Step: 43,800 | Reward: -50.74 | Avg-100: -77.50 | Speed: 174457 steps/s
[EPISODE 198] Step: 44,124 | Reward: -22.25 | Avg-100: -73.90 | Speed: 164812 steps/s
[EPISODE 199] Step: 44,268 | Reward: -48.97 | Avg-100: -74.25 | Speed: 400642 steps/s
[EPISODE 200] Step: 44,316 | Reward: -11.17 | Avg-100: -73.88 | Speed: 1061790 steps/s
[EPISODE 201] Step: 44,532 | Reward: 5.97 | Avg-100: -73.46 | Speed: 280213 steps/s
[EPISODE 202] Step: 44,544 | Reward: -59.00 | Avg-100: -72.97 | Speed: 4709632 steps/s
[EPISODE 203] Step: 45,024 | Reward: 6.35 | Avg-100: -72.56 | Speed: 107793 steps/s
[EPISODE 204] Step: 45,120 | Reward: 6.25 | Avg-100: -71.66 | Speed: 564448 steps/s
[EPISODE 205] Step: 45,420 | Reward: 0.96 | Avg-100: -68.05 | Speed: 190382 steps/s
[EPISODE 206] Step: 45,612 | Reward: 15.83 | Avg-100: -63.65 | Speed: 294136 steps/s
[EPISODE 207] Step: 45,708 | Reward: -243.99 | Avg-100: -62.48 | Speed: 565021 steps/s
[EPISODE 208] Step: 45,948 | Reward: -289.63 | Avg-100: -65.25 | Speed: 253329 steps/s
[EPISODE 209] Step: 46,056 | Reward: -52.35 | Avg-100: -65.88 | Speed: 502026 steps/s
[EPISODE 210] Step: 46,452 | Reward: -37.30 | Avg-100: -66.13 | Speed: 142285 steps/s
[EPISODE 211] Step: 47,136 | Reward: -118.70 | Avg-100: -63.92 | Speed: 80512 steps/s
[EPISODE 212] Step: 47,436 | Reward: -47.31 | Avg-100: -64.14 | Speed: 185423 steps/s
[EPISODE 213] Step: 47,460 | Reward: -360.44 | Avg-100: -65.00 | Speed: 2730133 steps/s
[EPISODE 214] Step: 47,568 | Reward: 18.29 | Avg-100: -61.37 | Speed: 549822 steps/s
[EPISODE 215] Step: 47,976 | Reward: 0.99 | Avg-100: -61.20 | Speed: 142402 steps/s
[EPISODE 216] Step: 48,324 | Reward: -216.37 | Avg-100: -63.12 | Speed: 160224 steps/s
[EPISODE 217] Step: 48,384 | Reward: 16.08 | Avg-100: -62.14 | Speed: 898700 steps/s
[EPISODE 218] Step: 48,420 | Reward: -307.27 | Avg-100: -65.15 | Speed: 1607999 steps/s
[EPISODE 219] Step: 48,828 | Reward: -117.94 | Avg-100: -66.09 | Speed: 132684 steps/s
[EPISODE 220] Step: 49,020 | Reward: -72.67 | Avg-100: -66.64 | Speed: 272985 steps/s
[EPISODE 221] Step: 49,152 | Reward: -6.63 | Avg-100: -66.57 | Speed: 446067 steps/s
[BEST MODEL] New record! Avg Reward: -66.57
[EPISODE 222] Step: 49,176 | Reward: -3.41 | Avg-100: -66.48 | Speed: 40160 steps/s
[EPISODE 223] Step: 49,608 | Reward: -35.27 | Avg-100: -66.80 | Speed: 142489 steps/s
[EPISODE 224] Step: 49,824 | Reward: -32.81 | Avg-100: -67.25 | Speed: 271480 steps/s
[EPISODE 225] Step: 49,968 | Reward: -28.72 | Avg-100: -64.24 | Speed: 396939 steps/s
[EPISODE 226] Step: 50,004 | Reward: -7.10 | Avg-100: -64.02 | Speed: 1257184 steps/s
[EPISODE 227] Step: 50,136 | Reward: 11.22 | Avg-100: -63.71 | Speed: 446046 steps/s
