[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 12,000,000

============================================================
🎬 EĞİTİM BAŞLIYOR
============================================================

🎮 Episode 106 | Step: 9,886 | Reward: -70.34 | Avg-100: -256.86
🎮 Episode 107 | Step: 9,927 | Reward: -162.03 | Avg-100: -256.61
🎮 Episode 108 | Step: 9,960 | Reward: -106.98 | Avg-100: -256.10
🏆 YENİ REKOR! Avg Reward: -256.10
🎮 Episode 109 | Step: 10,960 | Reward: -2981.22 | Avg-100: -285.54
🎮 Episode 110 | Step: 10,999 | Reward: -116.48 | Avg-100: -286.27
🎮 Episode 111 | Step: 11,047 | Reward: -120.89 | Avg-100: -280.62
🎮 Episode 112 | Step: 11,083 | Reward: -118.70 | Avg-100: -280.36
🎮 Episode 113 | Step: 11,140 | Reward: -139.57 | Avg-100: -279.89
🎮 Episode 114 | Step: 11,165 | Reward: -80.74 | Avg-100: -279.29
🎮 Episode 115 | Step: 11,248 | Reward: -260.09 | Avg-100: -280.81
🎮 Episode 116 | Step: 11,353 | Reward: -384.88 | Avg-100: -284.22
🎮 Episode 117 | Step: 11,425 | Reward: -264.13 | Avg-100: -284.67
🎮 Episode 118 | Step: 11,462 | Reward: -106.05 | Avg-100: -283.81
🎮 Episode 119 | Step: 11,495 | Reward: -109.65 | Avg-100: -282.39
🎮 Episode 120 | Step: 11,519 | Reward: -130.77 | Avg-100: -283.05
🎮 Episode 121 | Step: 11,540 | Reward: -86.01 | Avg-100: -283.28
🎮 Episode 122 | Step: 11,561 | Reward: -72.27 | Avg-100: -281.69
🎮 Episode 123 | Step: 12,561 | Reward: -3075.19 | Avg-100: -311.51
🎮 Episode 124 | Step: 12,580 | Reward: -52.86 | Avg-100: -306.38
🎮 Episode 125 | Step: 12,615 | Reward: -75.81 | Avg-100: -306.25
🎮 Episode 126 | Step: 12,675 | Reward: -203.96 | Avg-100: -307.64
🎮 Episode 127 | Step: 12,688 | Reward: -40.07 | Avg-100: -307.03
🎮 Episode 128 | Step: 12,721 | Reward: -72.89 | Avg-100: -307.29
🎮 Episode 129 | Step: 12,820 | Reward: -354.39 | Avg-100: -306.85
🎮 Episode 130 | Step: 12,859 | Reward: -147.02 | Avg-100: -306.40
🎮 Episode 131 | Step: 12,906 | Reward: -159.59 | Avg-100: -306.66
🎮 Episode 132 | Step: 12,928 | Reward: -54.63 | Avg-100: -305.28
🎮 Episode 133 | Step: 12,957 | Reward: -60.17 | Avg-100: -304.49
🎮 Episode 134 | Step: 13,014 | Reward: -197.02 | Avg-100: -304.90
🎮 Episode 135 | Step: 13,030 | Reward: -46.64 | Avg-100: -304.63
🎮 Episode 136 | Step: 14,030 | Reward: -3357.32 | Avg-100: -337.41
🎮 Episode 137 | Step: 14,073 | Reward: -159.80 | Avg-100: -337.83
🎮 Episode 138 | Step: 14,133 | Reward: -126.01 | Avg-100: -337.82
🎮 Episode 139 | Step: 14,145 | Reward: -56.32 | Avg-100: -335.86
🎮 Episode 140 | Step: 14,166 | Reward: -65.46 | Avg-100: -335.02
🎮 Episode 141 | Step: 14,192 | Reward: -80.92 | Avg-100: -335.33
🎮 Episode 142 | Step: 15,192 | Reward: -3392.88 | Avg-100: -368.97
🎮 Episode 143 | Step: 15,275 | Reward: -251.95 | Avg-100: -371.22
🎮 Episode 144 | Step: 16,275 | Reward: -3405.86 | Avg-100: -403.53
🎮 Episode 145 | Step: 16,296 | Reward: -71.68 | Avg-100: -403.35
🎮 Episode 146 | Step: 16,315 | Reward: -56.58 | Avg-100: -402.56
🎮 Episode 147 | Step: 16,356 | Reward: -187.31 | Avg-100: -403.68
🎮 Episode 148 | Step: 16,387 | Reward: -90.33 | Avg-100: -404.25
🎮 Episode 149 | Step: 16,404 | Reward: -65.63 | Avg-100: -397.64
🎮 Episode 150 | Step: 16,432 | Reward: -79.92 | Avg-100: -397.66
🎮 Episode 151 | Step: 16,454 | Reward: -84.18 | Avg-100: -396.88
🎮 Episode 152 | Step: 16,561 | Reward: -298.91 | Avg-100: -398.99
🎮 Episode 153 | Step: 16,610 | Reward: -168.14 | Avg-100: -399.70
🎮 Episode 154 | Step: 16,649 | Reward: -124.27 | Avg-100: -397.61
🎮 Episode 155 | Step: 16,659 | Reward: -29.40 | Avg-100: -396.00
🎮 Episode 156 | Step: 16,688 | Reward: -66.45 | Avg-100: -367.35
🎮 Episode 157 | Step: 16,700 | Reward: -41.86 | Avg-100: -338.69
🎮 Episode 158 | Step: 16,728 | Reward: -113.57 | Avg-100: -337.89
🎮 Episode 159 | Step: 16,751 | Reward: -84.79 | Avg-100: -337.53
🎮 Episode 160 | Step: 16,815 | Reward: -206.32 | Avg-100: -338.55
🎮 Episode 161 | Step: 16,859 | Reward: -131.49 | Avg-100: -337.12
🎮 Episode 162 | Step: 16,884 | Reward: -90.01 | Avg-100: -336.59
🎮 Episode 163 | Step: 16,908 | Reward: -104.19 | Avg-100: -337.15
🎮 Episode 164 | Step: 16,922 | Reward: -75.25 | Avg-100: -336.35
🎮 Episode 165 | Step: 16,940 | Reward: -52.25 | Avg-100: -335.59
🎮 Episode 166 | Step: 16,950 | Reward: -27.97 | Avg-100: -334.82
