[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Parallel Envs: 24
[INFO] Expected Time: ~30 minutes for 8M steps!

============================================================
[START] FIXED PARALLEL TRAINING
============================================================

[EPISODE 235] Step: 43,872 | Reward: -466.72 | Avg-100: -95.03
[EPISODE 236] Step: 44,400 | Reward: -120.93 | Avg-100: -95.87
[EPISODE 237] Step: 44,736 | Reward: -73.69 | Avg-100: -95.94
[EPISODE 238] Step: 45,192 | Reward: -103.24 | Avg-100: -96.77
[EPISODE 239] Step: 45,672 | Reward: -143.53 | Avg-100: -97.78
[EPISODE 240] Step: 45,696 | Reward: 4.98 | Avg-100: -96.76
[EPISODE 241] Step: 45,696 | Reward: -84.75 | Avg-100: -97.60
[EPISODE 242] Step: 45,768 | Reward: 0.16 | Avg-100: -97.00
[EPISODE 243] Step: 45,816 | Reward: -65.60 | Avg-100: -92.66
[EPISODE 244] Step: 46,104 | Reward: -32.90 | Avg-100: -92.67
[EPISODE 245] Step: 46,128 | Reward: -10.61 | Avg-100: -88.63
[EPISODE 246] Step: 46,272 | Reward: -165.88 | Avg-100: -89.72
[EPISODE 247] Step: 46,296 | Reward: -59.70 | Avg-100: -89.80
[EPISODE 248] Step: 46,752 | Reward: -33.58 | Avg-100: -85.49
[EPISODE 249] Step: 47,088 | Reward: -118.69 | Avg-100: -82.45
[EPISODE 250] Step: 47,424 | Reward: -197.84 | Avg-100: -84.71
[EPISODE 251] Step: 47,832 | Reward: -59.93 | Avg-100: -85.21
[EPISODE 252] Step: 47,856 | Reward: -20.98 | Avg-100: -84.28
[EPISODE 253] Step: 47,904 | Reward: -45.35 | Avg-100: -84.29
[EPISODE 254] Step: 48,000 | Reward: -92.63 | Avg-100: -84.51
[EPISODE 255] Step: 48,072 | Reward: -32.55 | Avg-100: -84.48
[EPISODE 256] Step: 48,528 | Reward: -6.94 | Avg-100: -84.38
[EPISODE 257] Step: 48,960 | Reward: -29.89 | Avg-100: -84.33
