[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] BALANCED MODE - Forward velocity dominant!

============================================================
[START] BALANCED TRAINING STARTED
============================================================

[EPISODE 131] Step: 11,691 | Reward: -32.98 | Avg-100: -214.40
[EPISODE 132] Step: 11,714 | Reward: -68.52 | Avg-100: -214.76
[BEST MODEL] New record! Avg Reward: -214.76
[EPISODE 133] Step: 12,714 | Reward: -3302.84 | Avg-100: -247.21
[EPISODE 134] Step: 12,749 | Reward: -73.82 | Avg-100: -246.53
[EPISODE 135] Step: 12,829 | Reward: -234.50 | Avg-100: -223.13
[EPISODE 136] Step: 12,862 | Reward: -113.06 | Avg-100: -223.48
[EPISODE 137] Step: 12,917 | Reward: -192.80 | Avg-100: -223.47
[EPISODE 138] Step: 12,949 | Reward: -103.00 | Avg-100: -222.25
[EPISODE 139] Step: 12,971 | Reward: -71.58 | Avg-100: -221.44
[EPISODE 140] Step: 12,984 | Reward: -37.38 | Avg-100: -221.23
[EPISODE 141] Step: 13,021 | Reward: -110.75 | Avg-100: -221.68
[EPISODE 142] Step: 13,079 | Reward: -162.47 | Avg-100: -222.84
[EPISODE 143] Step: 13,094 | Reward: -67.15 | Avg-100: -222.85
[EPISODE 144] Step: 13,111 | Reward: -33.97 | Avg-100: -222.13
[EPISODE 145] Step: 13,199 | Reward: -241.79 | Avg-100: -223.82
[EPISODE 146] Step: 14,199 | Reward: -3371.22 | Avg-100: -255.66
[EPISODE 147] Step: 14,223 | Reward: -66.69 | Avg-100: -255.90
[EPISODE 148] Step: 14,304 | Reward: -305.03 | Avg-100: -256.10
[EPISODE 149] Step: 14,332 | Reward: -117.41 | Avg-100: -255.74
[EPISODE 150] Step: 14,360 | Reward: -54.30 | Avg-100: -254.90
[EPISODE 151] Step: 14,584 | Reward: -766.40 | Avg-100: -262.16
[EPISODE 152] Step: 14,651 | Reward: -217.40 | Avg-100: -263.08
[EPISODE 153] Step: 14,749 | Reward: -360.91 | Avg-100: -266.25
[EPISODE 154] Step: 14,803 | Reward: -195.86 | Avg-100: -267.63
[EPISODE 155] Step: 14,834 | Reward: -126.16 | Avg-100: -267.68
[EPISODE 156] Step: 14,849 | Reward: -52.59 | Avg-100: -267.02
[EPISODE 157] Step: 14,897 | Reward: -190.00 | Avg-100: -268.27
[EPISODE 158] Step: 14,920 | Reward: -87.15 | Avg-100: -267.89
[EPISODE 159] Step: 15,004 | Reward: -231.34 | Avg-100: -261.40
[EPISODE 160] Step: 15,049 | Reward: -138.04 | Avg-100: -262.22
[EPISODE 161] Step: 15,076 | Reward: -85.82 | Avg-100: -262.40
[EPISODE 162] Step: 15,153 | Reward: -293.64 | Avg-100: -263.86
[EPISODE 163] Step: 15,205 | Reward: -196.57 | Avg-100: -264.85
[EPISODE 164] Step: 15,233 | Reward: -88.36 | Avg-100: -235.03
[EPISODE 165] Step: 15,253 | Reward: -61.05 | Avg-100: -235.26
[EPISODE 166] Step: 15,287 | Reward: -138.60 | Avg-100: -234.63
[EPISODE 167] Step: 15,299 | Reward: -23.91 | Avg-100: -234.62
[EPISODE 168] Step: 15,316 | Reward: -73.68 | Avg-100: -233.64
[EPISODE 169] Step: 15,344 | Reward: -93.93 | Avg-100: -232.99
[EPISODE 170] Step: 15,375 | Reward: -125.71 | Avg-100: -232.77
[EPISODE 171] Step: 15,410 | Reward: -125.90 | Avg-100: -233.42
[EPISODE 172] Step: 15,428 | Reward: -49.74 | Avg-100: -232.03
[EPISODE 173] Step: 15,511 | Reward: -264.07 | Avg-100: -234.26
[EPISODE 174] Step: 15,540 | Reward: -109.70 | Avg-100: -233.64
[EPISODE 175] Step: 15,549 | Reward: -29.68 | Avg-100: -232.73
[EPISODE 176] Step: 15,581 | Reward: -132.05 | Avg-100: -231.67
[EPISODE 177] Step: 15,592 | Reward: -41.37 | Avg-100: -229.42
[EPISODE 178] Step: 15,616 | Reward: -69.05 | Avg-100: -228.46
[EPISODE 179] Step: 15,637 | Reward: -73.61 | Avg-100: -227.39
[EPISODE 180] Step: 15,688 | Reward: -187.58 | Avg-100: -227.40
