[INFO] Creating 24 parallel environments...
[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 8,000,000
[INFO] Parallel Envs: 24
[INFO] Expected Speedup: 24x (from 8 hours to ~1 hour!)
[INFO] Energy Penalties: action=0.05, jerk=0.2

============================================================
[START] PARALLEL TRAINING STARTED
============================================================

[EPISODE 295] Step: 54,144 | Reward: -407.23 | Avg-100: -74.80
[EPISODE 296] Step: 54,240 | Reward: -440.02 | Avg-100: -79.11
[EPISODE 297] Step: 54,336 | Reward: -34.04 | Avg-100: -79.26
[EPISODE 298] Step: 54,792 | Reward: -3.18 | Avg-100: -78.92
[EPISODE 299] Step: 54,912 | Reward: -174.72 | Avg-100: -75.88
[EPISODE 300] Step: 56,016 | Reward: 21.92 | Avg-100: -75.63
[EPISODE 301] Step: 56,304 | Reward: -52.28 | Avg-100: -75.70
[EPISODE 302] Step: 56,472 | Reward: -23.76 | Avg-100: -75.44
[EPISODE 303] Step: 56,880 | Reward: -6.02 | Avg-100: -75.31
[EPISODE 304] Step: 57,072 | Reward: -37.79 | Avg-100: -75.43
[EPISODE 305] Step: 57,768 | Reward: -472.10 | Avg-100: -79.72
[EPISODE 306] Step: 57,840 | Reward: -487.03 | Avg-100: -84.42
[EPISODE 307] Step: 57,912 | Reward: -28.27 | Avg-100: -83.93
[EPISODE 308] Step: 58,032 | Reward: -74.30 | Avg-100: -84.42
[EPISODE 309] Step: 58,560 | Reward: -492.62 | Avg-100: -89.18
[EPISODE 310] Step: 59,280 | Reward: -424.34 | Avg-100: -93.46
[EPISODE 311] Step: 59,544 | Reward: -88.44 | Avg-100: -94.34
[EPISODE 312] Step: 60,288 | Reward: -17.90 | Avg-100: -94.18
[EPISODE 313] Step: 60,840 | Reward: 7.53 | Avg-100: -93.54
[EPISODE 314] Step: 61,008 | Reward: -128.52 | Avg-100: -94.47
[EPISODE 315] Step: 61,080 | Reward: -84.12 | Avg-100: -90.66
[EPISODE 316] Step: 61,560 | Reward: -67.96 | Avg-100: -91.33
[EPISODE 317] Step: 61,704 | Reward: -1.06 | Avg-100: -90.46
[EPISODE 318] Step: 61,992 | Reward: -146.66 | Avg-100: -92.12
[EPISODE 319] Step: 61,992 | Reward: -17.46 | Avg-100: -91.98
[EPISODE 320] Step: 62,064 | Reward: -498.27 | Avg-100: -96.95
[EPISODE 321] Step: 62,280 | Reward: -45.68 | Avg-100: -96.13
[EPISODE 322] Step: 62,304 | Reward: -134.56 | Avg-100: -97.06
[EPISODE 323] Step: 62,352 | Reward: -7.09 | Avg-100: -93.05
[EPISODE 324] Step: 62,472 | Reward: -535.96 | Avg-100: -98.14
[EPISODE 325] Step: 62,520 | Reward: -15.62 | Avg-100: -97.66
[EPISODE 326] Step: 62,640 | Reward: -32.57 | Avg-100: -96.24
[EPISODE 327] Step: 62,664 | Reward: -19.81 | Avg-100: -95.91
[EPISODE 328] Step: 63,024 | Reward: -419.24 | Avg-100: -99.95
[EPISODE 329] Step: 63,048 | Reward: -25.51 | Avg-100: -99.34
[EPISODE 330] Step: 63,120 | Reward: -30.42 | Avg-100: -98.71
[EPISODE 331] Step: 63,264 | Reward: -6.30 | Avg-100: -98.24
[EPISODE 332] Step: 63,576 | Reward: -4.33 | Avg-100: -98.26
[EPISODE 333] Step: 63,768 | Reward: -20.71 | Avg-100: -98.92
[EPISODE 334] Step: 63,864 | Reward: -33.54 | Avg-100: -98.12
[EPISODE 335] Step: 63,936 | Reward: -7.70 | Avg-100: -97.71
[EPISODE 336] Step: 64,464 | Reward: -526.09 | Avg-100: -101.66
[EPISODE 337] Step: 64,632 | Reward: 11.02 | Avg-100: -101.24
[EPISODE 338] Step: 64,776 | Reward: -437.48 | Avg-100: -104.93
[EPISODE 339] Step: 64,992 | Reward: -13.88 | Avg-100: -104.93
[EPISODE 340] Step: 65,232 | Reward: -91.06 | Avg-100: -105.37
[EPISODE 341] Step: 65,832 | Reward: -98.74 | Avg-100: -106.08
[EPISODE 342] Step: 65,904 | Reward: -23.22 | Avg-100: -106.44
[EPISODE 343] Step: 65,952 | Reward: 10.13 | Avg-100: -106.32
[EPISODE 344] Step: 66,288 | Reward: -20.33 | Avg-100: -106.38
[EPISODE 345] Step: 66,336 | Reward: -42.55 | Avg-100: -106.80
[EPISODE 346] Step: 66,648 | Reward: -135.78 | Avg-100: -107.70
[EPISODE 347] Step: 66,840 | Reward: -27.46 | Avg-100: -106.10
[EPISODE 348] Step: 66,864 | Reward: -507.43 | Avg-100: -110.00
[EPISODE 349] Step: 67,104 | Reward: -39.34 | Avg-100: -110.29
[EPISODE 350] Step: 67,152 | Reward: -35.49 | Avg-100: -108.96
[EPISODE 351] Step: 67,608 | Reward: -188.06 | Avg-100: -110.67
[EPISODE 352] Step: 68,136 | Reward: -38.70 | Avg-100: -109.90
[EPISODE 353] Step: 68,208 | Reward: -23.05 | Avg-100: -109.55
[EPISODE 354] Step: 68,472 | Reward: -19.08 | Avg-100: -109.38
[EPISODE 355] Step: 68,544 | Reward: -38.11 | Avg-100: -109.49
[EPISODE 356] Step: 68,856 | Reward: -5.54 | Avg-100: -109.39
[EPISODE 357] Step: 69,120 | Reward: -497.64 | Avg-100: -112.08
[EPISODE 358] Step: 69,240 | Reward: -38.21 | Avg-100: -112.09
[EPISODE 359] Step: 69,480 | Reward: -7.22 | Avg-100: -112.03
[EPISODE 360] Step: 69,744 | Reward: -33.48 | Avg-100: -110.38
[EPISODE 361] Step: 70,296 | Reward: -77.34 | Avg-100: -110.13
[EPISODE 362] Step: 70,560 | Reward: -12.05 | Avg-100: -105.43
