[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 7,000,000
[INFO] Energy Efficiency: ON (action_penalty=0.01, jerk_penalty=0.05)
[OK] Pre-trained model loaded.

============================================================
[START] ENERGY-EFFICIENT TRAINING STARTED
============================================================

[EPISODE 179] Step: 120,263 | Reward: 94.86 | Avg-100: 1378.70
[EPISODE 180] Step: 121,238 | Reward: 1925.17 | Avg-100: 1374.74
[EPISODE 181] Step: 122,238 | Reward: 2293.68 | Avg-100: 1383.20
[EPISODE 182] Step: 123,238 | Reward: 2280.76 | Avg-100: 1381.53
[EPISODE 183] Step: 123,938 | Reward: 1852.07 | Avg-100: 1399.73
[EPISODE 184] Step: 124,108 | Reward: 353.21 | Avg-100: 1388.20
[EPISODE 185] Step: 125,108 | Reward: -212.68 | Avg-100: 1363.46
[EPISODE 186] Step: 125,716 | Reward: 1631.90 | Avg-100: 1365.19
[EPISODE 187] Step: 126,612 | Reward: 1855.40 | Avg-100: 1359.65
[EPISODE 188] Step: 126,658 | Reward: 36.69 | Avg-100: 1350.28
[EPISODE 189] Step: 127,163 | Reward: 1007.73 | Avg-100: 1350.61
[EPISODE 190] Step: 128,163 | Reward: 2058.38 | Avg-100: 1348.03
[EPISODE 191] Step: 128,846 | Reward: 1700.44 | Avg-100: 1361.04
[EPISODE 192] Step: 129,232 | Reward: 1049.25 | Avg-100: 1347.65
[EPISODE 193] Step: 130,232 | Reward: 2261.74 | Avg-100: 1365.55
[EPISODE 194] Step: 131,232 | Reward: 2175.27 | Avg-100: 1384.46
[EPISODE 195] Step: 132,126 | Reward: 2225.19 | Avg-100: 1401.77
[EPISODE 196] Step: 133,126 | Reward: 2524.70 | Avg-100: 1410.45
[EPISODE 197] Step: 133,673 | Reward: 1490.70 | Avg-100: 1424.76
[EPISODE 198] Step: 133,786 | Reward: 158.49 | Avg-100: 1403.42
[EPISODE 199] Step: 134,786 | Reward: 1109.05 | Avg-100: 1395.14
[EPISODE 200] Step: 135,120 | Reward: 633.89 | Avg-100: 1391.60
[EPISODE 201] Step: 135,748 | Reward: 1591.99 | Avg-100: 1407.30
[EPISODE 202] Step: 136,712 | Reward: 2281.33 | Avg-100: 1428.53
[EPISODE 203] Step: 136,757 | Reward: 45.40 | Avg-100: 1404.16
[EPISODE 204] Step: 137,757 | Reward: 2281.85 | Avg-100: 1419.73
[EPISODE 205] Step: 138,757 | Reward: 2439.91 | Avg-100: 1427.45
[EPISODE 206] Step: 138,930 | Reward: 377.75 | Avg-100: 1407.86
[EPISODE 207] Step: 139,659 | Reward: 1629.34 | Avg-100: 1396.83
[EPISODE 208] Step: 139,957 | Reward: 727.08 | Avg-100: 1400.53
[EPISODE 209] Step: 140,253 | Reward: 744.40 | Avg-100: 1384.13
[EPISODE 210] Step: 140,852 | Reward: 1325.96 | Avg-100: 1388.20
[EPISODE 211] Step: 141,852 | Reward: 2435.78 | Avg-100: 1388.19
[EPISODE 212] Step: 142,620 | Reward: 1624.25 | Avg-100: 1379.61
[EPISODE 213] Step: 142,644 | Reward: 12.88 | Avg-100: 1354.51
[EPISODE 214] Step: 143,200 | Reward: 1296.20 | Avg-100: 1354.56
[EPISODE 215] Step: 144,200 | Reward: 2286.75 | Avg-100: 1354.41
[EPISODE 216] Step: 144,598 | Reward: 1054.28 | Avg-100: 1339.55
[EPISODE 217] Step: 145,232 | Reward: 917.22 | Avg-100: 1345.17
[EPISODE 218] Step: 146,110 | Reward: 2185.89 | Avg-100: 1363.52
