[INFO] State Dimension: 105
[INFO] Action Dimension: 8
[INFO] Max Action Value: 1.0
[INFO] Total Timesteps: 15,000,000
[WARNING] AGGRESSIVE LEARNING MODE!

============================================================
[START] AGGRESSIVE LEARNING STARTED
============================================================

[EPISODE 113] Step: 10,338 | Reward: -86.89 | Avg-100: -263.77
[EPISODE 114] Step: 10,352 | Reward: -45.38 | Avg-100: -263.55
[EPISODE 115] Step: 10,369 | Reward: -68.35 | Avg-100: -261.72
[EPISODE 116] Step: 10,395 | Reward: -76.19 | Avg-100: -255.85
[EPISODE 117] Step: 10,455 | Reward: -170.87 | Avg-100: -255.21
[EPISODE 118] Step: 10,505 | Reward: -156.69 | Avg-100: -252.80
[EPISODE 119] Step: 10,540 | Reward: -130.30 | Avg-100: -252.98
[EPISODE 120] Step: 10,565 | Reward: -65.45 | Avg-100: -250.90
[EPISODE 121] Step: 10,646 | Reward: -312.37 | Avg-100: -253.68
[EPISODE 122] Step: 10,667 | Reward: -72.09 | Avg-100: -250.30
[EPISODE 123] Step: 10,700 | Reward: -76.97 | Avg-100: -250.36
[EPISODE 124] Step: 10,723 | Reward: -74.82 | Avg-100: -248.82
[EPISODE 125] Step: 10,749 | Reward: -79.88 | Avg-100: -246.93
[EPISODE 126] Step: 11,749 | Reward: -3450.78 | Avg-100: -278.57
[EPISODE 127] Step: 11,771 | Reward: -72.47 | Avg-100: -278.35
[EPISODE 128] Step: 11,829 | Reward: -179.01 | Avg-100: -278.09
[EPISODE 129] Step: 11,896 | Reward: -285.75 | Avg-100: -280.60
[EPISODE 130] Step: 11,916 | Reward: -46.39 | Avg-100: -279.43
[EPISODE 131] Step: 11,937 | Reward: -87.39 | Avg-100: -279.47
[EPISODE 132] Step: 11,963 | Reward: -92.18 | Avg-100: -279.78
[EPISODE 133] Step: 12,044 | Reward: -210.65 | Avg-100: -281.23
[EPISODE 134] Step: 12,071 | Reward: -60.21 | Avg-100: -279.93
[EPISODE 135] Step: 12,111 | Reward: -128.18 | Avg-100: -280.80
[EPISODE 136] Step: 12,145 | Reward: -170.77 | Avg-100: -281.17
[EPISODE 137] Step: 12,219 | Reward: -236.72 | Avg-100: -282.40
[EPISODE 138] Step: 12,244 | Reward: -66.61 | Avg-100: -281.04
[EPISODE 139] Step: 12,256 | Reward: -44.84 | Avg-100: -280.12
[EPISODE 140] Step: 12,300 | Reward: -189.14 | Avg-100: -281.62
[EPISODE 141] Step: 12,325 | Reward: -82.19 | Avg-100: -281.91
[EPISODE 142] Step: 12,343 | Reward: -58.14 | Avg-100: -281.29
[EPISODE 143] Step: 12,406 | Reward: -296.16 | Avg-100: -283.59
[EPISODE 144] Step: 12,444 | Reward: -168.64 | Avg-100: -283.20
[EPISODE 145] Step: 12,485 | Reward: -149.78 | Avg-100: -284.34
